Cliente_txt;Cliente;Segmento;Saving - Mês 1;Saving - Mês 2;Unidade com Prog. - Mês 1;Unidade com Prog. - Mês 2;Func. Correto ON/OFF - Mês 1;Func. Correto ON/OFF - Mês 2;Saúde das Máquinas - Mês 1;Saúde das Máquinas - Mês 2;Tx de disponibilidade (ajustado) - Mês 1;Tx de disponibilidade (ajustado) - Mês 2
Santander;SANTANDER BA;Banco;;;#CALC!;#CALC!;#CALC!;#CALC!;#CALC!;#CALC!;;0,574
Santander;SANTANDER EXPANSÃO - 2021;Banco;;;#CALC!;#CALC!;#CALC!;#CALC!;#CALC!;#CALC!;;0,8226
Santander;SANTANDER EXPANSÃO - 2022;Banco;;;#CALC!;#CALC!;#CALC!;#CALC!;#CALC!;#CALC!;;0,7479
Santander;SANTANDER EXPANSÃO - 2023;Banco;;;#CALC!;#CALC!;#CALC!;#CALC!;#CALC!;#CALC!;;0,8193
Santander;SANTANDER;Banco;20%;11%;99%;99%;89%;98%;50%;55%;81,21%;74,10%
Banco do Brasil;BANCO DO BRASIL;Banco;12%;11%;98%;98%;95%;96%;64%;63%;86,42%;76,18%
Bradesco;BRADESCO;Banco;18%;19%;35%;62%;95%;96%;82%;85%;92,86%;92,50%
Autozone;AUTOZONE;Varejo;9%;9%;100%;100%;95%;98%;60%;64%;94,74%;91,32%
C&A;C&A;Varejo;2%;5%;97%;96%;95%;96%;55%;57%;96,18%;92,67%
Casas Bahia;CASAS BAHIA;Varejo;21%;25%;100%;100%;93%;95%;63%;68%;86,67%;84,78%
Cencosud;CENCOSUD BRASIL COMERCIAL LTDA;Varejo;29%;31%;96%;93%;93%;95%;41%;44%;92,00%;76,77%
DPSP;DPSP;Varejo;5%;8%;98%;98%;98%;98%;82%;72%;92,93%;78,82%
Drogaria Globo;DROGARIA GLOBO;Varejo;N/A;N/A;100%;100%;71%;70%;52%;46%;62,79%;68,41%
Grupo Jelta;GRUPO JELTA;Varejo;1%;3%;100%;100%;92%;92%;69%;73%;92,56%;89,04%
Grupo SBF;GRUPO SBF;Varejo;9%;11%;100%;100%;96%;92%;72%;80%;94,55%;92,47%
Indiana;INDIANA;Varejo;N/A;N/A;98%;98%;87%;87%;67%;62%;63,08%;67,46%
Mobly;MOBLY;Varejo;29%;20%;100%;100%;95%;98%;50%;59%;88,89%;90,44%
Petz;PETZ;Varejo;8%;10%;99%;99%;96%;97%;66%;65%;93,14%;85,13%
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;-;-;-;-;-;-;-;-;-;-;-;-
